Question,Answer
What is the procedure for payment of fees?,"Steps to Pay Online, Additional, Retest Payment or Verify Pay Status:-1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments""
4. Click on ""Fee Payments"" menu and Select Service"
How do I pay my fees?,"Steps to Pay Online, Additional, Retest Payment or Verify Pay Status:-1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments""
4. Click on ""Fee Payments"" menu and Select Service"
How to reprint fee receipt?,"Steps to Pay Online, Additional, Retest Payment or Verify Pay Status:-1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments""
4. Click on ""Fee Payments"" menu and Select Service"
Can I get a copy of my fee receipt?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu"
I need to reprint my fee receipt?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu"
Option of online fees payment is not available for Learner License?,"Steps to print your Payment Slip :-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu"
Why can't I pay my fees online for the Learner License?,"Might be your state is not accepting the online fees, You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Is online payment available for Learner License fees?,"Might be your state is not accepting the online fees, You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I make payment if payment access is denied?,"Might be your state is not accepting the online fees, You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
What should I do if I can't access payment options?,"Steps to Pay Online:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
"My payment access is denied, how to proceed?","Steps to Pay Online:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
Amount deducted but fee payment is showing pending in application status?,"Steps to Pay Online:-
1. Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
Why is my payment still showing as pending?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
How do I check the status of my pending fee payment?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
Amount deducted but fee payment is showing failed in application status?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service"
What does it mean if my payment has failed?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
How can I resolve a failed payment status?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
System is not allowing me to submit the fee; it says please try after 15 minutes?,"You need to contact your Zonal Office/Transport Department, while carrying the original document(s)"
Why can't I submit my fee payment?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service
Note: Retry payment after few minutes"
What should I do if I can't submit my payment?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service
Note: Retry payment after few minutes"
Amount not deducted but transaction is verifying with the bank for more than 3 days?,"Steps to Verify Pay Status :-
1.Visit https://sarathi.parivahan.gov.in/
2. Select concerned state
3. Click on ""Fee Payments"" from the ""Fee Payments"" menu
4. Click on ""EPayment"" menu and Select Service
Note: Retry payment after few minutes"
How can I check the status of my transaction with the bank?,"You need to contact your Bank branch , while carrying the document(s)"
"My transaction is pending verification, what should I do?","You need to contact your Bank branch , while carrying the document(s)"
Why is my application status still showing pending after I made the payment?,"You need to contact your Bank branch , while carrying the document(s)"
